offer_id,price_segment,price_rub,pred_rub,residual_rub
329773242,comfort,55000,55723.6816016325,-723.6816016325029
330618782,comfort,80000,90476.8079320539,-10476.807932053896
324394418,business,65000,60400.385795201786,4599.614204798214
330103507,business,80000,75141.84760921318,4858.152390786825
312877473,comfort,105000,101713.81162261598,3286.1883773840236
330921182,econom,75000,80548.9786406125,-5548.978640612506
330449907,comfort,68000,64082.75709627473,3917.242903725273
284580182,premium,110000,114033.65468036706,-4033.6546803670644
329145616,premium,130000,110518.14392202816,19481.85607797184
330842228,premium,320000,188523.8000265413,131476.1999734587
319285767,premium,450000,343365.78214722656,106634.21785277344
330879218,comfort,50000,55118.132794279634,-5118.132794279634
329485150,comfort,70000,71594.90964356417,-1594.9096435641695
330720664,premium,95000,91590.32768463234,3409.6723153676576
303124512,business,115000,129641.88523212475,-14641.885232124754
326184930,business,80000,78212.19955368701,1787.800446312991
327743193,econom,70000,75103.78494491323,-5103.784944913234
330633768,econom,65000,69242.58746522295,-4242.587465222954
323279117,business,46000,52916.8412057248,-6916.841205724799
329913271,comfort,58000,50193.51324497177,7806.486755028229
330876810,premium,125000,99887.37479066718,25112.625209332822
329736712,premium,100000,87797.30882317286,12202.691176827138
328038545,premium,46000,44203.348846385925,1796.6511536140752
329007554,premium,220000,247923.16133459617,-27923.161334596167
329016142,comfort,58000,60167.53499346456,-2167.5349934645565
330273385,comfort,60000,53280.050576881455,6719.949423118545
329993856,business,85000,79967.17778944125,5032.822210558748
329983976,premium,158000,180828.30586910128,-22828.305869101285
330292622,business,46000,48019.370529520485,-2019.3705295204854
329859602,premium,120000,115353.0811206602,4646.918879339806
330587855,premium,160000,181094.51962951012,-21094.51962951012
330620163,comfort,100000,105077.39619600576,-5077.396196005764
329925188,econom,85000,86394.02419497255,-1394.024194972546
330339642,premium,230000,136725.60386184664,93274.39613815336
330652160,comfort,65000,52752.80901141568,12247.19098858432
327419858,premium,115000,100988.14132296604,14011.85867703396
330358625,comfort,80000,75277.73837238627,4722.261627613727
330115107,comfort,45000,55860.483577882565,-10860.483577882565
325648869,business,75000,71304.34721565583,3695.6527843441727
330913571,econom,55000,54961.7564178452,38.24358215479879
328102912,business,180000,180763.74676849932,-763.7467684993171
330418230,comfort,65000,51862.50116755025,13137.498832449754
330868859,econom,45000,63549.92506323424,-18549.925063234237
330785558,comfort,130000,126216.07824193012,3783.921758069875
330376893,premium,300000,299070.2700603982,929.7299396017916
329800190,business,55000,52733.12493985354,2266.8750601464635
330930532,econom,50000,51699.89551686048,-1699.8955168604807
330734866,comfort,80000,71008.96096807183,8991.039031928172
330203646,comfort,75000,73303.63267070922,1696.367329290777
328376358,premium,690000,626344.5117892532,63655.488210746786
330922603,business,155000,171454.02395089922,-16454.023950899224
328134586,econom,60000,60091.53301809353,-91.53301809352706
330720841,econom,45000,45041.0566529803,-41.056652980303625
329739039,econom,100000,130883.23767858198,-30883.23767858198
330894689,business,80000,109317.06001805258,-29317.06001805258
330350916,comfort,95000,83868.79882173965,11131.201178260351
330054620,comfort,80000,75846.82665847556,4153.173341524438
330261691,premium,340000,404672.8165224525,-64672.816522452515
330677634,business,130000,116991.40825896904,13008.591741030963
330045482,premium,75000,87353.41534944813,-12353.415349448129
330257334,comfort,70000,57482.077777350605,12517.922222649395
326194855,business,200000,141064.6051780575,58935.39482194249
330932464,business,80000,65850.83071837925,14149.16928162075
330273570,comfort,49000,60538.12886630204,-11538.128866302039
328344338,business,65000,80407.70168895311,-15407.701688953108
330775735,premium,55000,68944.23016712803,-13944.23016712803
292608504,econom,40000,43222.27138144086,-3222.2713814408635
330604430,business,230000,224132.6074972184,5867.392502781586
328920876,premium,120000,120490.64158411256,-490.6415841125563
329714872,business,65000,66127.51101289487,-1127.5110128948727
330004908,business,100000,90378.32329096968,9621.676709030318
326068918,premium,230000,157891.66758534632,72108.33241465368
325695521,business,160000,217003.5699925457,-57003.5699925457
328545453,comfort,43000,47747.88771998644,-4747.887719986436
330434597,comfort,60000,52492.485335501726,7507.514664498274
328272284,econom,50000,52622.70476615835,-2622.7047661583492
329599687,comfort,80000,64607.04096690531,15392.959033094688
321880115,premium,240000,220483.23179389903,19516.76820610097
330084571,business,95000,87101.41220307091,7898.587796929089
330462935,business,50000,60060.83152531377,-10060.83152531377
330135544,business,200000,163478.00445113587,36521.99554886413
330808081,comfort,65000,61433.85676663389,3566.143233366107
330029654,premium,400000,286946.5305676084,113053.46943239158
330668983,premium,350000,296961.9997079601,53038.000292039884
327259543,premium,110000,122507.08051234888,-12507.080512348883
330446116,econom,42000,43529.783797379816,-1529.783797379816
330760735,econom,45000,57384.66330388113,-12384.663303881127
327788653,premium,140000,119428.7636073128,20571.236392687206
330565735,premium,80000,83955.27991927383,-3955.279919273831
324242775,econom,90000,95483.80937934296,-5483.809379342958
330879265,econom,65000,59015.17658440544,5984.823415594561
329686379,econom,41000,43542.79531543633,-2542.7953154363277
