rooms,area_sqm,living_area_sqm,kitchen_area_sqm,floor,floors_total,metro_time_min,build_year,prepay_months,rooms_was_missing,living_area_sqm_missing,kitchen_area_sqm_missing,build_year_missing,prepay_months_missing,is_agent,district_grouped_te,metro_grouped_te,repair_type_cosmetic,repair_type_design,repair_type_euro,repair_type_no,repair_type_unknown,house_material_unknown,house_material_Блочный,house_material_Кирпичный,house_material_Монолитно кирпичный,house_material_Монолитный,house_material_Панельный,log_price_rub
1.0,48.0,25.0,8.0,8,9,8.0,2001.0,1.0,0,0,0,1,0,1,11.437853178390943,11.35988596916399,False,False,True,False,False,True,False,False,False,False,False,11.002116507732016
2.0,50.0,31.0,10.0,3,12,10.0,2001.0,1.0,0,1,1,1,1,1,11.116960357376627,11.198443784936998,False,False,False,False,True,True,False,False,False,False,False,10.819798284210286
2.0,50.0,26.5,5.3,1,5,13.0,1964.0,1.0,0,0,0,0,0,1,11.229415071105773,11.251900315077808,False,False,True,False,False,False,False,True,False,False,False,11.289794413577894
2.0,37.0,31.0,10.0,27,32,8.0,2001.0,1.0,0,1,1,1,1,0,11.198511451391504,11.242836283018018,False,False,False,False,True,True,False,False,False,False,False,11.350418300109132
2.0,71.0,40.0,9.0,6,9,14.0,1946.0,1.0,0,0,0,0,0,0,11.949383376661066,11.888284289062431,False,True,False,False,False,True,False,False,False,False,False,12.206077645517674
2.0,60.0,37.0,10.0,6,6,9.0,1939.0,1.0,0,0,0,0,0,1,11.397191022644797,11.429070514764451,True,False,False,False,False,False,False,True,False,False,False,11.156264806643742
1.0,39.0,19.0,10.0,14,17,1.0,2007.0,1.0,0,0,0,0,0,1,11.437853178390943,11.35988596916399,True,False,False,False,False,False,False,False,False,False,True,10.87806606028079
1.0,47.0,17.0,18.0,6,29,2.0,2022.0,1.0,0,0,0,0,0,0,11.917776620328693,11.518580755822974,False,True,False,False,False,False,False,False,True,False,False,11.775297421715829
3.0,70.0,49.0,11.0,4,14,10.0,1970.0,1.0,0,0,0,0,0,0,11.232577341982605,11.253462335108717,False,True,False,False,False,False,False,False,False,False,True,11.60824473564232
1.0,33.5,15.0,13.5,2,23,5.0,2024.0,1.0,0,0,0,0,0,1,11.10956390659661,11.074538131765559,False,False,True,False,False,True,False,False,False,False,False,11.082157933374816
0.0,30.0,18.0,5.0,24,25,2.0,2021.0,1.0,1,0,0,1,0,0,11.403885966996384,11.342740211011991,False,True,False,False,False,True,False,False,False,False,False,11.350418300109132
2.0,50.0,30.0,7.0,3,12,9.0,1965.0,1.0,0,0,0,0,0,1,11.949383376661066,11.808801020200386,False,True,False,False,False,False,False,True,False,False,False,11.60824473564232
4.0,121.5,85.0,15.0,5,19,12.0,2000.0,1.0,0,1,0,0,0,1,11.504631066895532,11.48966261290911,False,True,False,False,False,True,False,False,False,False,False,12.54254845357358
1.0,33.0,20.0,6.0,9,9,15.0,1966.0,1.0,0,0,0,0,0,1,11.101091622435222,11.151421764849863,False,False,True,False,False,False,True,False,False,False,False,10.915106645867503
2.0,65.0,31.0,10.0,3,18,5.0,2001.0,1.0,0,1,1,1,0,0,11.869119250297855,11.823593542780586,False,True,False,False,False,True,False,False,False,False,False,12.04355959836804
1.0,35.0,19.0,9.3,1,5,7.0,2019.0,1.0,0,1,1,0,0,0,11.257618411501408,11.155470893765488,False,True,False,False,False,False,False,False,False,True,False,11.277215789596893
1.0,45.0,20.0,15.0,5,27,6.0,2014.0,1.0,0,0,0,0,0,1,11.10956390659661,11.074538131765559,False,True,False,False,False,False,False,False,False,True,False,11.289794413577894
0.0,27.0,20.0,7.0,7,22,13.0,2023.0,1.0,1,0,0,0,0,0,11.229083405579512,11.232453653452305,False,True,False,False,False,True,False,False,False,False,False,11.097425172408933
0.0,35.5,16.0,5.0,14,14,9.0,2021.0,1.0,1,1,1,1,0,0,11.824944902874211,11.541480373213297,True,False,False,False,False,True,False,False,False,False,False,11.350418300109132
1.0,32.0,19.0,9.3,15,17,9.0,2024.0,1.0,0,1,1,0,0,0,10.944512679091805,10.87810870028785,False,True,False,False,False,True,False,False,False,False,False,10.968215530759236
3.0,94.0,50.0,12.0,7,25,16.0,1993.0,1.0,0,0,0,0,0,1,11.553914513907973,11.458987383541,False,False,True,False,False,False,False,False,False,False,True,11.736077016252436
2.0,50.0,31.0,10.0,4,22,6.0,2001.0,1.0,0,1,1,1,0,0,11.562072173298628,11.499649948884297,False,True,False,False,False,True,False,False,False,False,False,11.775297421715829
1.0,32.0,10.0,16.0,13,13,4.0,2021.0,1.0,0,0,0,0,0,0,10.831929619549957,10.951392525893,True,False,False,False,False,False,True,False,False,False,False,10.819798284210286
2.0,50.0,40.0,10.0,34,44,16.0,2013.0,1.0,0,0,0,0,0,1,11.710460023731514,11.83430569362014,False,False,True,False,False,False,False,False,False,False,True,11.695255355062796
1.0,42.0,28.0,12.0,21,25,13.0,2001.0,1.0,0,0,0,1,0,0,11.49438253057822,11.473606334478909,False,True,False,False,False,True,False,False,False,False,False,11.652696102959752
2.0,42.0,25.0,7.5,3,12,12.0,1968.0,1.0,0,0,0,0,0,1,11.262439625363287,11.312227136000292,False,False,True,False,False,False,True,False,False,False,False,11.082157933374816
2.0,44.0,28.0,6.0,3,12,13.0,1972.0,1.0,0,0,0,0,0,1,11.088841488533134,11.021780716696016,True,False,False,False,False,False,False,False,False,False,True,10.859018228147889
0.0,37.0,20.0,8.0,12,24,9.0,2015.0,1.0,1,0,0,0,0,1,11.020486538906104,11.140033407357551,False,False,True,False,False,False,False,False,False,True,False,11.350418300109132
0.0,55.0,35.0,15.0,3,17,12.0,2002.0,1.0,1,0,0,0,0,0,11.488475763349287,11.411716037323313,True,False,False,False,False,False,False,True,False,False,False,11.407576060361786
2.0,44.0,23.0,7.0,5,5,7.0,1966.0,1.0,0,0,0,0,0,1,11.562072173298628,11.710484928446553,True,False,False,False,False,True,False,False,False,False,False,11.082157933374816
0.0,30.0,16.0,5.0,3,9,3.0,1986.0,1.0,1,1,1,0,0,1,12.087206620487938,11.936519926483458,False,True,False,False,False,False,False,True,False,False,False,11.225256725762891
2.0,43.8,27.0,6.0,4,9,16.0,1965.0,2.0,0,0,0,0,0,0,11.403885966996384,11.265480327868506,False,False,True,False,False,False,False,True,False,False,False,11.407576060361786
2.0,57.9,33.8,10.2,14,22,13.0,1993.0,1.0,0,0,0,0,0,0,11.409613131332188,11.248021438457174,True,False,False,False,False,False,False,False,False,False,True,11.156264806643742
0.0,19.0,10.0,4.0,2,14,5.0,2021.0,1.0,1,0,0,1,0,1,11.03994227161258,11.100786142467314,False,False,True,False,False,True,False,False,False,False,False,10.893047333337728
3.0,85.0,48.0,10.0,16,34,17.0,2004.0,1.0,0,1,0,1,0,1,11.949383376661066,11.918239299541641,False,True,False,False,False,True,False,False,False,False,False,13.03898394237596
2.0,45.0,35.0,7.0,5,9,8.0,1969.0,1.0,0,0,0,0,0,1,11.138100212933846,11.19572625326722,True,False,False,False,False,False,False,False,False,False,True,11.156264806643742
3.0,119.0,80.0,12.0,4,34,14.0,2008.0,1.0,0,0,1,0,0,1,11.65516836759808,11.797566673977094,False,True,False,False,False,False,False,False,False,True,False,12.100717685412471
2.0,93.0,50.0,16.0,2,11,15.0,2020.0,1.0,0,0,0,0,0,1,11.949383376661066,11.808801020200386,False,False,True,False,False,False,False,False,False,True,False,12.765691290604371
1.0,43.0,20.0,15.0,13,18,9.0,2001.0,1.0,0,0,0,1,1,1,11.34964748171038,11.435814396437953,False,True,False,False,False,True,False,False,False,False,False,11.461642696843066
2.0,55.0,31.0,9.0,6,14,20.0,1991.0,1.0,0,1,0,0,0,1,11.03528590232491,10.892172369173338,True,False,False,False,False,False,False,False,False,False,True,10.915106645867503
1.0,35.0,20.0,10.0,9,16,9.0,1976.0,1.0,0,0,0,0,0,1,11.121404807614221,11.15403173602226,False,True,False,False,False,False,False,False,False,False,True,11.06665398721974
0.0,31.0,20.0,8.0,2,5,10.0,2018.0,1.0,1,0,0,0,0,1,11.824944902874211,11.752384980753796,False,True,False,False,False,False,False,False,False,True,False,11.81303746480054
3.0,55.0,48.0,12.0,6,9,15.0,1967.0,1.0,0,1,1,0,0,1,11.262135477920678,11.35988596916399,False,False,True,False,False,False,False,False,False,False,True,11.461642696843066
2.0,55.0,30.0,10.0,15,16,12.0,1977.0,1.0,0,0,0,0,0,1,11.088841488533134,11.17830492716128,False,False,True,False,False,False,False,False,False,False,True,11.156264806643742
1.0,35.0,19.0,9.3,2,5,15.0,2001.0,1.0,0,1,1,1,1,1,11.508760595533868,11.544671070424611,False,False,False,False,True,True,False,False,False,False,False,11.156264806643742
1.0,43.0,20.0,14.0,2,11,9.0,2023.0,1.0,0,0,0,0,1,1,12.203890590270259,11.83430569362014,False,True,False,False,False,False,False,False,False,True,False,11.775297421715829
0.0,25.5,17.0,4.0,3,33,7.0,2024.0,1.0,1,0,0,0,0,1,11.100682875805719,11.218989620592023,False,True,False,False,False,True,False,False,False,False,False,10.950824090522444
1.0,33.0,19.0,6.5,3,9,3.0,1969.0,1.0,0,0,0,0,0,0,11.100682875805719,10.958596477675162,True,False,False,False,False,False,False,False,False,False,True,10.799595985047786
2.0,39.0,32.0,5.0,13,27,6.0,2022.0,1.0,0,0,0,0,0,0,11.422449419177148,11.518580755822974,False,False,True,False,False,False,False,False,False,True,False,11.350418300109132
1.0,37.8,10.1,14.0,10,12,20.0,2001.0,1.0,0,0,0,1,0,0,11.03994227161258,11.114706633825005,False,False,True,False,False,True,False,False,False,False,False,11.082157933374816
2.0,94.0,31.0,18.0,5,26,13.0,2008.0,1.0,0,1,0,0,0,1,11.835878363954608,11.828500378324684,False,True,False,False,False,False,False,False,False,True,False,11.918397239722838
2.0,89.0,60.0,15.0,35,41,14.0,2001.0,1.0,0,0,0,1,0,1,11.710460023731514,11.83430569362014,False,True,False,False,False,True,False,False,False,False,False,12.429220196836384
0.0,22.0,16.0,5.0,14,14,15.0,2024.0,1.0,1,1,1,0,0,1,10.90354095564741,11.023245873929426,False,False,True,False,False,True,False,False,False,False,False,10.545367754151744
2.0,47.8,22.0,15.0,3,7,13.0,2020.0,1.0,0,0,0,0,0,1,10.90354095564741,11.023245873929426,False,False,True,False,False,False,False,False,False,True,False,11.002116507732016
3.0,80.0,52.0,10.0,3,16,16.0,1999.0,1.0,0,0,0,0,0,0,11.824944902874211,11.414110844261707,False,True,False,False,False,False,False,False,False,False,True,11.736077016252436
2.0,45.0,28.0,6.0,2,9,15.0,1975.0,1.0,0,0,0,0,0,1,10.939243995241346,10.892172369173338,True,False,False,False,False,False,False,False,False,False,True,10.778977123006351
3.0,100.0,48.0,20.0,23,41,12.0,2011.0,1.0,0,1,0,0,0,1,11.274811067598232,11.29829919653937,False,True,False,False,False,False,False,False,False,True,False,11.918397239722838
1.0,39.0,20.0,7.0,13,19,6.0,1989.0,1.0,0,0,0,0,0,0,11.139450103571626,11.162643424343365,False,False,True,False,False,False,False,False,False,True,False,11.082157933374816
2.0,55.0,29.0,11.0,11,16,12.0,1974.0,1.0,0,0,0,0,0,1,11.558950377253428,11.722540672318255,False,False,True,False,False,False,True,False,False,False,False,11.775297421715829
2.0,38.0,31.0,6.0,8,8,15.0,1958.0,1.0,0,1,0,0,0,0,11.44635645877924,11.646630344846383,False,True,False,False,False,False,False,False,False,False,True,11.461642696843066
0.0,26.0,16.0,5.0,20,30,9.0,2021.0,1.0,1,1,1,1,1,1,11.397191022644797,11.375952900317408,False,False,False,False,True,True,False,False,False,False,False,11.002116507732016
