model,RMSE_rub,MAE_rub,RMSLE,R2_rub,R2_log
lightgbm,29059.14667826361,15132.138457755242,0.16846257455715574,0.8837912667296635,0.9109451340865167
random_forest,30326.913919879626,15801.694360634341,0.17993288371508467,0.873430375945039,0.8984051092884936
ridge,37731.192765515596,19130.57337035901,0.20923658536568368,0.8040820978309327,0.8626192019713987
